gender,n_speakers,n_recordings,mean_human_confidence,mean_human_clarity,mean_human_engagement,mean_multimodal_MAE
Female,5,10,59.0,62.0,61.0,13.87
Male,5,10,71.0,68.5,71.5,16.22
